"gene_i","gene_j","pcor_asthma","pcor_normal","delta","p_emp_lambda_as","p_emp_lambda_no","p_emp","q_fdr"
"205000_at","205001_s_at",0.0402009329514623,0.0336690386154398,0.00653189433602245,0.00497512437810945,0.00497512437810945,0.00497512437810945,0.396479142747799
"214218_s_at","230760_at",0,-0.0126001052497436,0.0126001052497436,0.00497512437810945,0.00497512437810945,0.00497512437810945,0.396479142747799
"201909_at","230760_at",0,0.0143127556168068,-0.0143127556168068,0.00497512437810945,0.00497512437810945,0.00497512437810945,0.396479142747799
"214218_s_at","224589_at",0.0461272609294229,0.0355357742296813,0.0105914866997416,0.00995024875621891,0.00497512437810945,0.00995024875621891,0.396479142747799
"214218_s_at","224590_at",0.0459152591391277,0.0348458303899416,0.0110694287491861,0.00995024875621891,0.00497512437810945,0.00995024875621891,0.396479142747799
"230760_at","244482_at",0.00365312094506096,0.0343707637431773,-0.0307176427981164,0.00497512437810945,0.00995024875621891,0.00995024875621891,0.396479142747799
"219493_at","209891_at",0.0281042372020787,0,0.0281042372020787,0.00995024875621891,0.00995024875621891,0.00995024875621891,0.396479142747799
"AFFX-HUMRGE/M10098_5_at","211074_at",0,0.0170509516477072,-0.0170509516477072,0.00497512437810945,0.00995024875621891,0.00995024875621891,0.396479142747799
"224588_at","230760_at",0,-0.0150202023861475,0.0150202023861475,0.00995024875621891,0.00497512437810945,0.00995024875621891,0.396479142747799
"227671_at","230760_at",0,-0.0139883081723226,0.0139883081723226,0.00995024875621891,0.00497512437810945,0.00995024875621891,0.396479142747799
"221728_x_at","230760_at",0,-0.0122887038046146,0.0122887038046146,0.00995024875621891,0.00497512437810945,0.00995024875621891,0.396479142747799
"224589_at","230760_at",0,-0.0129653097187896,0.0129653097187896,0.00995024875621891,0.00995024875621891,0.00995024875621891,0.396479142747799
"224590_at","230760_at",0,-0.00624411880085249,0.00624411880085249,0.00497512437810945,0.00995024875621891,0.00995024875621891,0.396479142747799
"221728_x_at","224590_at",0.0437912724897576,0.0336998364080605,0.0100914360816971,0.0149253731343284,0.0149253731343284,0.0149253731343284,0.483208955223881
"201909_at","244482_at",0,0.0164407770362564,-0.0164407770362564,0.0149253731343284,0.0149253731343284,0.0149253731343284,0.483208955223881
"224589_at","244482_at",0,-0.0141523703582458,0.0141523703582458,0.0149253731343284,0.0149253731343284,0.0149253731343284,0.483208955223881
"221728_x_at","224589_at",0.0456831759311133,0.0351315367568332,0.0105516391742802,0.0199004975124378,0.00497512437810945,0.0199004975124378,0.490878938640133
"AFFX-HUMRGE/M10098_M_at","211074_at",0,0.00567535408446261,-0.00567535408446261,0.0149253731343284,0.0199004975124378,0.0199004975124378,0.490878938640133
"221728_x_at","244482_at",0,-0.015407941578004,0.015407941578004,0.0149253731343284,0.0199004975124378,0.0199004975124378,0.490878938640133
"214218_s_at","244482_at",0,-0.0142369696691104,0.0142369696691104,0.0149253731343284,0.0199004975124378,0.0199004975124378,0.490878938640133
"224590_at","244482_at",0,-0.0117871462986107,0.0117871462986107,0.0199004975124378,0.0199004975124378,0.0199004975124378,0.490878938640133
"221728_x_at","232618_at",-0.0140882111924892,-0.0269881883145185,0.0128999771220293,0.00995024875621891,0.0248756218905473,0.0248756218905473,0.536898839137645
"201909_at","206624_at",0.0126662506953188,0.0261115195357691,-0.0134452688404503,0.0248756218905473,0.0149253731343284,0.0248756218905473,0.536898839137645
"205034_at","204444_at",0,0.0117264731003134,-0.0117264731003134,0.00995024875621891,0.0248756218905473,0.0248756218905473,0.536898839137645
"230866_at","226860_at",0.00392523447875812,0.0235818431626697,-0.0196566086839116,0.0298507462686567,0.0298507462686567,0.0298507462686567,0.594718714121699
"227671_at","244482_at",0,-0.0129771996976756,0.0129771996976756,0.0298507462686567,0.0248756218905473,0.0298507462686567,0.594718714121699
"214218_s_at","232618_at",-0.0153529444990793,-0.0257482318742766,0.0103952873751973,0.0298507462686567,0.0348258706467662,0.0348258706467662,0.62206210327672
"201909_at","232618_at",0.014400304933785,0.024335459364067,-0.00993515443028198,0.0348258706467662,0.0298507462686567,0.0348258706467662,0.62206210327672
"204409_s_at","230760_at",0.00430314827299747,0.0210092877330745,-0.0167061394600771,0.0348258706467662,0.0199004975124378,0.0348258706467662,0.62206210327672
"227671_at","232618_at",-0.0144571706510419,-0.0249569280295332,0.0104997573784914,0.0398009950248756,0.0348258706467662,0.0398009950248756,0.644278606965174
"204409_s_at","244482_at",0.0110526157517004,0.0218335580056955,-0.0107809422539951,0.0398009950248756,0.0398009950248756,0.0398009950248756,0.644278606965174
"205000_at","244482_at",0.00734229850002369,0.0197885371692356,-0.0124462386692119,0.0398009950248756,0.0398009950248756,0.0398009950248756,0.644278606965174
"227671_at","224589_at",0.0429863523422181,0.0338501683225539,0.00913618401966425,0.0447761194029851,0.0348258706467662,0.0447761194029851,0.682177348551361
"214131_at","230760_at",0,0.0167360549445864,-0.0167360549445864,0.0348258706467662,0.0447761194029851,0.0447761194029851,0.682177348551361
"227671_at","224590_at",0.0421923811292925,0.0314949938735974,0.0106973872556951,0.0497512437810945,0.0248756218905473,0.0497512437810945,0.696517412935323
"224588_at","232618_at",-0.0178563960562975,-0.0262238117936642,0.00836741573736674,0.0497512437810945,0.0398009950248756,0.0497512437810945,0.696517412935323
"218195_at","224436_s_at",0.030296469567059,0,0.030296469567059,0.0497512437810945,0.0348258706467662,0.0497512437810945,0.696517412935323
"204410_at","228492_at",0.0360179386993693,0.031958614982241,0.0040593237171283,0.0398009950248756,0.054726368159204,0.054726368159204,0.712818884301895
"218349_s_at","209891_at",0.018046841170978,0,0.018046841170978,0.054726368159204,0.0398009950248756,0.054726368159204,0.712818884301895
"221728_x_at","214131_at",-0.0125940615818803,-0.0242067920030448,0.0116127304211645,0.0597014925373134,0.0497512437810945,0.0597014925373134,0.712818884301895
"224590_at","214131_at",-0.00814354796630332,-0.0216465431885489,0.0135029952222456,0.0398009950248756,0.0597014925373134,0.0597014925373134,0.712818884301895
"214218_s_at","206624_at",-0.00903137644083078,-0.0218616218034531,0.0128302453626223,0.0597014925373134,0.0348258706467662,0.0597014925373134,0.712818884301895
"228492_at","206624_at",0.0435069985922476,0.0386617677933473,0.00484523079890024,0.0597014925373134,0.0497512437810945,0.0597014925373134,0.712818884301895
"224588_at","224589_at",0.0429518810368716,0.035480976168453,0.00747090486841864,0.0646766169154229,0.0248756218905473,0.0646766169154229,0.712818884301895
"223645_s_at","223646_s_at",0.0416701195231019,0.0366827182620519,0.00498740126104993,0.0348258706467662,0.0646766169154229,0.0646766169154229,0.712818884301895
"224589_at","214131_at",-0.0109684979148813,-0.0226775912321187,0.0117090933172374,0.0646766169154229,0.0597014925373134,0.0646766169154229,0.712818884301895
"218195_at","227278_at",0.0508799720916258,0.0289771046941323,0.0219028673974934,0.0497512437810945,0.0646766169154229,0.0646766169154229,0.712818884301895
"224590_at","232618_at",-0.0103933076538545,-0.0199716061945965,0.00957829854074198,0.0447761194029851,0.0696517412935323,0.0696517412935323,0.721592039800995
"236694_at","232618_at",0.0339401851409223,0.0268269370426232,0.00711324809829911,0.0696517412935323,0.054726368159204,0.0696517412935323,0.721592039800995
"224588_at","244482_at",-0.00267384784813156,-0.0150848410802311,0.0124109932320995,0.054726368159204,0.0696517412935323,0.0696517412935323,0.721592039800995
"236694_at","204410_at",0.0383090557651489,0.0337121233769529,0.00459693238819609,0.0746268656716418,0.054726368159204,0.0746268656716418,0.742558394468336
"AFFX-HUMRGE/M10098_5_at","AFFX-HUMRGE/M10098_3_at",0.055604800463647,0.0409787278963605,0.0146260725672864,0.0746268656716418,0.0696517412935323,0.0746268656716418,0.742558394468336
"224589_at","232618_at",-0.0132256281131009,-0.0216143453760532,0.00838871726295223,0.0597014925373134,0.0796019900497512,0.0796019900497512,0.742558394468336
"227671_at","221728_x_at",0.0471363507185783,0.0392038592549796,0.0079324914635987,0.0845771144278607,0.0646766169154229,0.0845771144278607,0.742558394468336
"214218_s_at","205001_s_at",-0.0207036340140343,-0.0284204890928853,0.007716855078851,0.0845771144278607,0.0497512437810945,0.0845771144278607,0.742558394468336
"224590_at","206624_at",-0.00114816323244096,-0.0132689806123542,0.0121208173799132,0.0696517412935323,0.0845771144278607,0.0845771144278607,0.742558394468336
"204410_at","206624_at",0.0318042160940383,0.0248085591317872,0.0069956569622511,0.0646766169154229,0.0845771144278607,0.0845771144278607,0.742558394468336
"235117_at","203967_at",0.0214199071224721,0,0.0214199071224721,0.0845771144278607,0.0497512437810945,0.0845771144278607,0.742558394468336
"221606_s_at","204444_at",0,0.0128051759582113,-0.0128051759582113,0.0796019900497512,0.0845771144278607,0.0845771144278607,0.742558394468336
"224589_at","205001_s_at",-0.0177140773109329,-0.0263663742369136,0.00865229692598063,0.0945273631840796,0.0597014925373134,0.0945273631840796,0.802707772612348
"205000_at","230760_at",0.0105101587452394,0.0216830822114418,-0.0111729234662024,0.0696517412935323,0.0945273631840796,0.0945273631840796,0.802707772612348
"214218_s_at","214131_at",-0.0130558698222545,-0.0231597812250201,0.0101039114027655,0.0995024875621891,0.0995024875621891,0.0995024875621891,0.80325644504749
"202904_s_at","204444_at",0,0.0110560456508584,-0.0110560456508584,0.0995024875621891,0.0746268656716418,0.0995024875621891,0.80325644504749
"221728_x_at","214218_s_at",0.0479465813281386,0.0407160934740986,0.00723048785404004,0.104477611940299,0.0597014925373134,0.104477611940299,0.80325644504749
"221728_x_at","205001_s_at",-0.020265078403693,-0.0285841042540172,0.00831902585032426,0.109452736318408,0.0646766169154229,0.109452736318408,0.80325644504749
"201909_at","223645_s_at",0.0255645365001237,0.0324715202520602,-0.00690698375193643,0.0398009950248756,0.109452736318408,0.109452736318408,0.80325644504749
"224588_at","223646_s_at",-0.0254808904646464,-0.0311558437194333,0.00567495325478693,0.109452736318408,0.0995024875621891,0.109452736318408,0.80325644504749
"227671_at","223646_s_at",-0.0237670523218931,-0.0306413407037779,0.00687428838188478,0.109452736318408,0.104477611940299,0.109452736318408,0.80325644504749
"224588_at","214131_at",-0.0166142317382266,-0.0252294870079405,0.00861525526971389,0.109452736318408,0.0696517412935323,0.109452736318408,0.80325644504749
"218195_at","226430_at",0.0104400260264736,0,0.0104400260264736,0.0945273631840796,0.109452736318408,0.109452736318408,0.80325644504749
"221728_x_at","206624_at",-0.0115028945199286,-0.0224191261671773,0.0109162316472488,0.114427860696517,0.0845771144278607,0.114427860696517,0.80325644504749
"223645_s_at","230760_at",0,0.00811368538892033,-0.00811368538892033,0.109452736318408,0.114427860696517,0.114427860696517,0.80325644504749
"221728_x_at","223646_s_at",-0.0255566241258822,-0.0319929250951848,0.00643630096930266,0.119402985074627,0.0945273631840796,0.119402985074627,0.80325644504749
"227671_at","214131_at",-0.0116112359205005,-0.0223647652955605,0.0107535293750599,0.119402985074627,0.0895522388059701,0.119402985074627,0.80325644504749
"227671_at","206624_at",-0.0102323591098146,-0.021804860759609,0.0115725016497944,0.119402985074627,0.0945273631840796,0.119402985074627,0.80325644504749
"208828_at","218349_s_at",0.0374713755625463,0,0.0374713755625463,0.119402985074627,0.0746268656716418,0.119402985074627,0.80325644504749
"214131_at","1570360_s_at",0,0.00707973611321988,-0.00707973611321988,0.0845771144278607,0.119402985074627,0.119402985074627,0.80325644504749
"204409_s_at","204410_at",0.0398802173837231,0.0364379510666575,0.00344226631706561,0.124378109452736,0.109452736318408,0.124378109452736,0.805348258706468
"224590_at","205001_s_at",-0.0160155126747503,-0.0245031322635969,0.00848761958884662,0.124378109452736,0.104477611940299,0.124378109452736,0.805348258706468
"221727_at","235117_at",0.0153171017065273,0,0.0153171017065273,0.124378109452736,0.104477611940299,0.124378109452736,0.805348258706468
"214218_s_at","223646_s_at",-0.0257546257922363,-0.0323273863320023,0.00657276053976598,0.129353233830846,0.0796019900497512,0.129353233830846,0.817133842980221
"219990_at","209891_at",0.021986424675286,0,0.021986424675286,0.0895522388059701,0.129353233830846,0.129353233830846,0.817133842980221
"208828_at","204240_s_at",0.0322783095496157,0.000930032518440081,0.0313482770311756,0.104477611940299,0.134328358208955,0.134328358208955,0.838338428340227
"224588_at","227671_at",0.0470230362204608,0.0404196572127238,0.00660337900773695,0.139303482587065,0.0995024875621891,0.139303482587065,0.859038142620232
"224588_at","221728_x_at",0.0467527776215706,0.0405466156460824,0.00620616197548826,0.144278606965174,0.109452736318408,0.144278606965174,0.859038142620232
"204409_s_at","205000_at",0.0402168593769287,0.0367187702354711,0.00349808914145757,0.144278606965174,0.0995024875621891,0.144278606965174,0.859038142620232
"219493_at","208828_at",0.02165905876596,0.00324742429727578,0.0184116344686842,0.144278606965174,0.109452736318408,0.144278606965174,0.859038142620232
"232618_at","1570360_s_at",0.00732925106961137,0.0198825808595163,-0.0125533297899049,0.139303482587065,0.149253731343284,0.149253731343284,0.859038142620232
"223646_s_at","230760_at",0.00383805340410093,0.015828887743005,-0.0119908343389041,0.124378109452736,0.149253731343284,0.149253731343284,0.859038142620232
"224588_at","224590_at",0.0406951660369333,0.0332374987692056,0.0074576672677277,0.159203980099502,0.054726368159204,0.159203980099502,0.859038142620232
"221728_x_at","223645_s_at",-0.0218175833598606,-0.0297081554114457,0.00789057205158508,0.159203980099502,0.124378109452736,0.159203980099502,0.859038142620232
"224589_at","206624_at",-0.00716533850466184,-0.017759123879772,0.0105937853751101,0.134328358208955,0.159203980099502,0.159203980099502,0.859038142620232
"223645_s_at","206624_at",0.0240482371929523,0.0314938003966851,-0.00744556320373276,0.124378109452736,0.159203980099502,0.159203980099502,0.859038142620232
"214131_at","244482_at",0.015133881367443,0.0274524214039974,-0.0123185400365545,0.0945273631840796,0.159203980099502,0.159203980099502,0.859038142620232
"208828_at","219990_at",0.0172072839205863,0,0.0172072839205863,0.159203980099502,0.134328358208955,0.159203980099502,0.859038142620232
"208828_at","208103_s_at",0.0238810577782107,0,0.0238810577782107,0.159203980099502,0.154228855721393,0.159203980099502,0.859038142620232
"214218_s_at","223645_s_at",-0.0228391849455053,-0.0299136773811348,0.00707449243562955,0.164179104477612,0.114427860696517,0.164179104477612,0.867803837953092
"206624_at","230760_at",0.0300814576242369,0.0199171364058133,0.0101643212184236,0.164179104477612,0.159203980099502,0.164179104477612,0.867803837953092
"201909_at","228492_at",0.02825992024029,0.0318106017083612,-0.00355068146807112,0.169154228855721,0.169154228855721,0.169154228855721,0.876218905472637
"208828_at","221606_s_at",0.0154605085597991,0,0.0154605085597991,0.164179104477612,0.169154228855721,0.169154228855721,0.876218905472637
"227671_at","205001_s_at",-0.0210374704085081,-0.0287359954319195,0.00769852502341136,0.17910447761194,0.114427860696517,0.17910447761194,0.883582089552239
"227671_at","223645_s_at",-0.0206019356385722,-0.0286290999905791,0.00802716435200691,0.17910447761194,0.139303482587065,0.17910447761194,0.883582089552239
"205001_s_at","214131_at",0.0178462107774435,0.0245915955356987,-0.00674538475825523,0.169154228855721,0.17910447761194,0.17910447761194,0.883582089552239
"219493_at","221606_s_at",0.0337713199813739,0.0199226850279308,0.0138486349534431,0.134328358208955,0.17910447761194,0.17910447761194,0.883582089552239
"218349_s_at","228033_at",0.0077614294515149,0,0.0077614294515149,0.17910447761194,0.164179104477612,0.17910447761194,0.883582089552239
"204409_s_at","236694_at",0.0335058042474486,0.0305176102929368,0.00298819395451175,0.18407960199005,0.17910447761194,0.18407960199005,0.88928596454348
"232618_at","206624_at",0.0300172957749899,0.0228983657470414,0.00711893002794852,0.18407960199005,0.18407960199005,0.18407960199005,0.88928596454348
"201909_at","223646_s_at",0.02695485312135,0.0305047592534959,-0.00354990613214584,0.194029850746269,0.18407960199005,0.194029850746269,0.88928596454348
"201909_at","214131_at",0.013786953863728,0.022352493172877,-0.00856553930914897,0.17910447761194,0.194029850746269,0.194029850746269,0.88928596454348
"206700_s_at","230760_at",0.00133314051850531,0.0122866594909102,-0.0109535189724049,0.134328358208955,0.194029850746269,0.194029850746269,0.88928596454348
"221606_s_at","218349_s_at",0.00941389262364612,0,0.00941389262364612,0.17910447761194,0.194029850746269,0.194029850746269,0.88928596454348
"236694_at","228492_at",0.0296967942425865,0.0265738839468669,0.0031229102957196,0.199004975124378,0.169154228855721,0.199004975124378,0.88928596454348
"228492_at","214131_at",0.0194496738225333,0.0255401837286129,-0.00609050990607963,0.194029850746269,0.199004975124378,0.199004975124378,0.88928596454348
"219990_at","218349_s_at",0.0286410373529572,0,0.0286410373529572,0.199004975124378,0.17910447761194,0.199004975124378,0.88928596454348
"224588_at","206624_at",-0.0144686491828282,-0.021920788479713,0.0074521392968848,0.203980099502488,0.164179104477612,0.203980099502488,0.88928596454348
"218349_s_at","204444_at",0.0294337806619767,0.0074288310437513,0.0220049496182254,0.159203980099502,0.203980099502488,0.203980099502488,0.88928596454348
"227671_at","214218_s_at",0.0467878892936132,0.0403059308272472,0.00648195846636602,0.208955223880597,0.114427860696517,0.208955223880597,0.88928596454348
"224589_at","228492_at",-0.0216884733401492,-0.0270018957357195,0.00531342239557037,0.174129353233831,0.208955223880597,0.208955223880597,0.88928596454348
"208828_at","218195_at",0.0101257266823243,0,0.0101257266823243,0.18407960199005,0.208955223880597,0.208955223880597,0.88928596454348
"224590_at","223645_s_at",-0.0209063675108549,-0.0270320516175976,0.00612568410674261,0.213930348258706,0.174129353233831,0.213930348258706,0.88928596454348
"218195_at","211137_s_at",0.00438897264481921,0,0.00438897264481921,0.199004975124378,0.213930348258706,0.213930348258706,0.88928596454348
"204444_at","209891_at",0.0292934505293028,0.013169977553518,0.0161234729757848,0.18407960199005,0.213930348258706,0.213930348258706,0.88928596454348
"224588_at","214218_s_at",0.0457914314712848,0.040626500303998,0.00516493116728679,0.218905472636816,0.164179104477612,0.218905472636816,0.88928596454348
"232618_at","223646_s_at",0.035157977384971,0.0313127785189279,0.00384519886604315,0.223880597014925,0.164179104477612,0.223880597014925,0.88928596454348
"202904_s_at","218195_at",0.0181414738120489,0.000571129244217184,0.0175703445678317,0.223880597014925,0.189054726368159,0.223880597014925,0.88928596454348
"221728_x_at","236694_at",-0.0233724724338422,-0.0295349818630228,0.00616250942918069,0.228855721393035,0.169154228855721,0.228855721393035,0.88928596454348
"224588_at","223645_s_at",-0.0224355285375078,-0.0286904442162364,0.00625491567872862,0.228855721393035,0.18407960199005,0.228855721393035,0.88928596454348
"205001_s_at","228492_at",0.0337639255434403,0.0302947781263942,0.00346914741704608,0.228855721393035,0.228855721393035,0.228855721393035,0.88928596454348
"218195_at","224604_at",0.0204606560867773,0,0.0204606560867773,0.223880597014925,0.228855721393035,0.228855721393035,0.88928596454348
"221727_at","226860_at",0.0186053496680452,0,0.0186053496680452,0.228855721393035,0.228855721393035,0.228855721393035,0.88928596454348
"227671_at","236694_at",-0.0232548354501359,-0.0303129151546267,0.00705807970449086,0.233830845771144,0.189054726368159,0.233830845771144,0.88928596454348
